name,lan,kommun,address,website,phone,email,products,onSiteSales,tastingRoom,gardsförsäljningLicense,rating,reviewCount,_reason
Domain Sånana,Skåne,,"Hävdavägen 36, 276 36 Borrby, Sverige",http://www.domansanana.se/,0414-304 68,,['vin'],False,True,False,4.1,7,"small high-rated venue, possible local producer"
Ellenholm & Vadensjö Jordbruks AB,Skåne,,"Toftavägen 147, 261 76 Asmundtorp, Sverige",http://ellenholm.se/,,,['grönsaker'],True,False,False,4.1,45,"small high-rated venue, possible local producer"
Fruemöllans Bär,Skåne,Klippan,"Fruemöllavägen 2, 264 92 Klippan, Sverige",http://fruemollansbar.se/,070-147 83 70,,"['grönsaker', 'bär']",True,False,False,5,1,"small high-rated venue, possible local producer"
Färg Från Förr,Skåne,Hörby,"Kagarp 8130, 242 96 Hörby, Sverige",http://www.fargfranforr.nu/,0415-603 64,,['annat'],True,False,False,4.7,146,"small high-rated venue, possible local producer"
Grönby blåbär,Skåne,,"Nybyholmsvägen 51-0, 231 72 Anderslöv, Sverige",https://m.facebook.com/pages/category/Local-Business/gronbyblabar/about/,072-152 82 00,,"['grönsaker', 'bär']",True,False,False,5,26,"small high-rated venue, possible local producer"
Häxans Hus,Skåne,Hörby,"Henset 7372, 242 91 Hörby, Sverige",http://haxanshus.com/,072-321 98 02,,['annat'],True,False,False,4.7,98,"small high-rated venue, possible local producer"
Idas Köttlåda,Skåne,Höör,"Rolsberga 423, 243 96 Höör, Sverige",http://www.idaskottlada.se/,,,['kött'],True,False,False,4.9,9,"small high-rated venue, possible local producer"
Kafé Kagan,Skåne,Hörby,"Kagarp 8130, 242 96 Hörby, Sverige",http://www.fargfranforr.nu/,0415-603 64,,['annat'],True,True,False,4.8,104,"small high-rated venue, possible local producer"
Lilla Brygghuset,Skåne,Hörby,"Långaröd 8011, 242 96 Hörby, Sverige",http://www.lillabrygghuset.se/,,,['vin'],False,True,False,4.6,7,"small high-rated venue, possible local producer"
Linas och Binas AB,Skåne,,"Nickebo Sillaröd, 273 57 Brösarp, Sverige",http://www.linasochbinas.se/,070-812 62 72,,['annat'],True,False,False,4.8,32,"small high-rated venue, possible local producer"
