live,name,lan,kommun,address,website,phone,products,onSiteSales,tastingRoom,openingHours,season,rating,reviewCount,source,place_id,_source_file
no,Rössviks Ladan Restaurang,Kronoberg,,"Sirkövägen 11, 362 54 Urshult, Sverige",http://www.restaurangladan.com/,073-330 13 32,annat,yes,yes,"måndag: 11:00–14:30, tisdag: 11:00–14:30, onsdag: 11:00–14:30, torsdag: 11:00–14:30, fredag: 11:00–14:30, lördag: 11:30–15:00, söndag: 11:30–15:00",,4.3,295,google-places:gårdsrestaurang,ChIJWapK8lXoVkYRna7OpWfph3k,google-places-farms-expansion-3.json
yes,Sevedstorps Gård,Kronoberg,,"Sevedstorp 1, 363 91 Braås, Sverige",http://sevedstorpsgard.se/,070-833 08 76,grönsaker,no,no,,,,,google-places:odlare gård,ChIJ1YVkDTw-V0YRIupXLELclxs,google-places-farms-expansion-3.json
yes,Sjölyckornas Gårdsbutik,Kronoberg,,"sjölyckorna 1, 355 98 Ingelstad, Sverige",http://www.sjolyckorna.se/,070-284 85 55,annat,yes,no,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: 13:00–18:00, fredag: 10:00–18:00, lördag: 10:00–14:00, söndag: Stängt",,4.7,91,google-places:gårdsförsäljning,ChIJ969OLcwdV0YRBJtuzUK6UgU,google-places-farms-expansion-3.json
no,Skåres Konditori,Kronoberg,Växjö,"Kungsgatan 13, 352 31 Växjö, Sverige",http://www.skareskonditori.se/,0470-125 29,annat,yes,yes,"måndag: 07:00–19:00, tisdag: 07:00–19:00, onsdag: 07:00–19:00, torsdag: 07:00–19:00, fredag: 07:00–19:00, lördag: 08:00–17:00, söndag: 10:00–17:00",,4.3,596,google-places:gårdscafé,ChIJYTt9ZI0jV0YROWPyHMlYLqA,google-places-farms-expansion-3.json
no,Snabbgross Club - Växjö,Kronoberg,Växjö,"Arabygatan 53, 352 46 Växjö, Sverige",https://www.snabbgrossclub.se/,0470-101 40,annat,no,no,"måndag: 07:00–19:00, tisdag: 07:00–19:00, onsdag: 07:00–19:00, torsdag: 07:00–19:00, fredag: 07:00–19:00, lördag: 08:00–16:00, söndag: 08:00–16:00",,4.4,72,google-places:lokal producent mat,ChIJP3lrsXokV0YR4GzfDMEv4Ec,google-places-farms-expansion-3.json
no,Spice ´N Rice Växjö,Kronoberg,Växjö,"Västra Esplanaden 3, 352 30 Växjö, Sverige",http://www.spicenrice.se/,073-504 10 71,annat,yes,yes,"måndag: 11:00–21:00, tisdag: 11:00–21:00, onsdag: 11:00–21:00, torsdag: 11:00–21:00, fredag: 11:00–21:00, lördag: 12:00–21:00, söndag: 12:00–21:00",,4,549,google-places:gårdsrestaurang,ChIJmV0as4wjV0YRXkHncFWVjr0,google-places-farms-expansion-3.json
yes,Sunnerborgs gårdsbutik,Kronoberg,,"Sunnerborgsvägen 1, 341 75 Hamneda, Sverige",http://www.sunnerborg.se/,070-685 01 18,grönsaker,yes,no,,,4.6,15,google-places:odlare gård,ChIJnV0iIiw7UUYR3vmG5A8tcTo,google-places-farms-expansion-3.json
no,Sussies Café,Kronoberg,,"Flattinge Gärdet 1, 341 55 Vittaryd, Sverige",http://www.ostkaka.nu/,070-302 92 68,annat,yes,yes,"måndag: Stängt, tisdag: 09:00–10:00, onsdag: Stängt, torsdag: Stängt, fredag: Stängt, lördag: Stängt, söndag: Stängt",,4.6,473,google-places:gårdscafé,ChIJ0dsAj1rZUEYR954ShQXDbJQ,google-places-farms-expansion-3.json
no,Systrarna Skogströms Lantcafé,Kronoberg,,"Öhrs gamla lanthandel, 342 64 Ör, Sverige",http://www.lantcafe.se/,0472-760 30,annat,yes,yes,"måndag: Stängt, tisdag: Stängt, onsdag: 10:00–16:00, torsdag: 10:00–16:00, fredag: 10:00–16:00, lördag: 10:00–17:00, söndag: 10:00–17:00",,4.2,622,google-places:gårdscafé,ChIJiasdGEMwV0YRJze_4IcY3tk,google-places-farms-expansion-3.json
no,Söderkrogen Verona,Kronoberg,Växjö,"Tegnérgatan 3D, 352 34 Växjö, Sverige",http://soderkrogenverona.se/menu/index.html,0470-165 08,annat,yes,yes,"måndag: 11:00–21:00, tisdag: 11:00–21:00, onsdag: 11:00–21:00, torsdag: 11:00–21:00, fredag: 11:00–21:00, lördag: 12:00–21:00, söndag: 12:00–21:00",,4.2,152,google-places:gårdsrestaurang,ChIJ1UCJuvMjV0YRGCAb_A0VVrc,google-places-farms-expansion-3.json
no,Tam Nak Thai Restaurang,Kronoberg,Växjö,"Östregårdsgatan 2, 352 34 Växjö, Sverige",http://www.tamnakthai.se/,0470-400 50,annat,yes,yes,"måndag: 11:30–14:30, 16:30–20:00, tisdag: 11:30–14:30, 16:30–20:00, onsdag: 11:30–14:30, 16:30–20:00, torsdag: 11:30–14:30, 16:30–20:00, fredag: 11:30–14:30, 16:30–20:00, lördag: 12:00–20:00, söndag: 12:00–19:00",,4.1,347,google-places:gårdsrestaurang,ChIJ3Yym2JIjV0YRdjeSWgDv4H0,google-places-farms-expansion-3.json
no,Texas Longhorn,Kronoberg,Växjö,"Båtsmanstorget 1, 352 30 Växjö, Sverige",https://www.texaslonghorn.se/restaurang/vaxjo/,0470-466 65,annat,no,no,"måndag: 17:00–22:00, tisdag: 17:00–22:00, onsdag: 17:00–22:00, torsdag: 17:00–22:00, fredag: 17:00–22:30, lördag: 12:00–22:30, söndag: 12:00–21:00",,4,782,google-places:lokal producent mat,ChIJq6q10fIjV0YRaX0CNIqjQfg,google-places-farms-expansion-3.json
